ORACODE,DESCRIPTION,CAUSE,ACTION
ORA-00115,"connection refused; dispatcher connection table is full","A connection request was refused by a dispatcher because the dispatcher cannot support any more connections.","Connect to a different dispatcher, or use a dedicated server."
ORA-115,"connection refused; dispatcher connection table is full","A connection request was refused by a dispatcher because the dispatcher cannot support any more connections.","Connect to a different dispatcher, or use a dedicated server."
ORA-00116,"SERVICE_NAMES name is too long","A service name specified in the SERVICE_NAMES system parameter is too long.","Use a shorter name in the SERVICE_NAMES value (<= 255 chars)."
ORA-116,"SERVICE_NAMES name is too long","A service name specified in the SERVICE_NAMES system parameter is too long.","Use a shorter name in the SERVICE_NAMES value (<= 255 chars)."
ORA-00117,"PROTOCOL, ADDRESS or DESCRIPTION must be specified","PROTOCOL, ADDRESS or DESCRIPTION was not specified.","Use one of the attributes: PROTOCOL, ADDRESS or DESCRIPTION to specify the listening address for dispatchers."
ORA-117,"PROTOCOL, ADDRESS or DESCRIPTION must be specified","PROTOCOL, ADDRESS or DESCRIPTION was not specified.","Use one of the attributes: PROTOCOL, ADDRESS or DESCRIPTION to specify the listening address for dispatchers."
ORA-00118,"Only one of PROTOCOL, ADDRESS or DESCRIPTION may be specified","More than one of PROTOCOL, ADDRESS or DESCRIPTION was specified.","Use only one of the attributes: PROTOCOL, ADDRESS or DESCRIPTION to specify the listening address for dispatchers."
ORA-118,"Only one of PROTOCOL, ADDRESS or DESCRIPTION may be specified","More than one of PROTOCOL, ADDRESS or DESCRIPTION was specified.","Use only one of the attributes: PROTOCOL, ADDRESS or DESCRIPTION to specify the listening address for dispatchers."
ORA-00119,"invalid specification for system parameter string","The syntax for the specified parameter is incorrect.","Refer to the Oracle Reference Manual for the correct syntax."
ORA-119,"invalid specification for system parameter string","The syntax for the specified parameter is incorrect.","Refer to the Oracle Reference Manual for the correct syntax."
ORA-00120,"invalid 'shared_servers' value for the PDB","'shared_servers' cannot be set to a non-zero value in a non-ROOT pluggable database (PDB).","In a multitenant container database (CDB) setup, shared servers can be configured only in ROOT. A non-ROOT PDB can disable shared servers for the PDB by setting 'shared_servers' to 0. No other values are allowed. To reenable within the PDB, use 'alter system reset shared_servers'."
ORA-120,"invalid 'shared_servers' value for the PDB","'shared_servers' cannot be set to a non-zero value in a non-ROOT pluggable database (PDB).","In a multitenant container database (CDB) setup, shared servers can be configured only in ROOT. A non-ROOT PDB can disable shared servers for the PDB by setting 'shared_servers' to 0. No other values are allowed. To reenable within the PDB, use 'alter system reset shared_servers'."
ORA-00122,"cannot initialize network configuration","ORACLE could not initialize SQL*Net version 2.","Check the error stack for detailed information."
ORA-122,"cannot initialize network configuration","ORACLE could not initialize SQL*Net version 2.","Check the error stack for detailed information."
ORA-00123,"idle public server terminating","Too many idle servers were waiting on the common queue.","This error is used internally, no action is required."
ORA-123,"idle public server terminating","Too many idle servers were waiting on the common queue.","This error is used internally, no action is required."
